Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Spike-in Quality Control]	Parameter Value[Spike-in Mix Number]	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Parameter Value[Library QA Instrument]	Parameter Value[Library QA Assay]	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Batch Number]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
RR23_R-EDL_GC_G1_techrep1	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.4	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_GC_G1_techrep1	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 2	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	455	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_GC_G1_techrep1_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_GC_G1_techrep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	95997670	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_GC_G1_techrep2	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.4	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_GC_G1_techrep2	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 2	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	439	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_GC_G1_techrep2_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_GC_G1_techrep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	75116211	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.58	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_GC_G2	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.4	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_GC_G2	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 2	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	458	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_GC_G2_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_GC_G2_R2_raw.fastq.gz	GeneLab raw data processing protocol	88793810	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.42	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_GC_G3	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.6	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_GC_G3	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 2	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	436	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_GC_G3_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_GC_G3_R2_raw.fastq.gz	GeneLab raw data processing protocol	99413625	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_GC_G4	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.5	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_GC_G4	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 2	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	470	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_GC_G4_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_GC_G4_R2_raw.fastq.gz	GeneLab raw data processing protocol	99327571	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.38	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_GC_G5	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.3	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_GC_G5	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 2	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	446	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_GC_G5_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_GC_G5_R2_raw.fastq.gz	GeneLab raw data processing protocol	95373267	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.37	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_GC_G6	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.6	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_GC_G6	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 2	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	454	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_GC_G6_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_GC_G6_R2_raw.fastq.gz	GeneLab raw data processing protocol	90677361	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.43	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_GC_G7	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.8	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_GC_G7	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 2	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	455	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_GC_G7_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_GC_G7_R2_raw.fastq.gz	GeneLab raw data processing protocol	109495018	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.36	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_GC_G8	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.6	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_GC_G8	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 2	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	461	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_GC_G8_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_GC_G8_R2_raw.fastq.gz	GeneLab raw data processing protocol	120555279	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.38	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_GC_G9	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.6	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_GC_G9	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 2	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	445	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_GC_G9_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_GC_G9_R2_raw.fastq.gz	GeneLab raw data processing protocol	106644836	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.49	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_VIV_V1_techrep1	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.7	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_VIV_V1_techrep1	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	455	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_VIV_V1_techrep1_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_VIV_V1_techrep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	99775833	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.42	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_VIV_V1_techrep2	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.7	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_VIV_V1_techrep2	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	451	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_VIV_V1_techrep2_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_VIV_V1_techrep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	92184368	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.39	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_VIV_V2	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.6	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_VIV_V2	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	438	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_VIV_V2_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_VIV_V2_R2_raw.fastq.gz	GeneLab raw data processing protocol	105390005	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.45	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_VIV_V3	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.4	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_VIV_V3	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	471	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_VIV_V3_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_VIV_V3_R2_raw.fastq.gz	GeneLab raw data processing protocol	102284047	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
RR23_R-EDL_VIV_V4	Nucleic Acid Extraction	Agilent 4200 TapeStation	Agilent RNA ScreenTape Assay	8.6	RINe	OSD	https://osdr.nasa.gov/	RR23_R-EDL_VIV_V4	Spike-in Protocol	ERCC ExFold RNA Spike-In Mix	Mix 1	Library Construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation	Agilent D1000 ScreenTape Assay	464	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-034	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-604_rna-seq_RR23_R-EDL_VIV_V4_R1_raw.fastq.gz,GLDS-604_rna-seq_RR23_R-EDL_VIV_V4_R2_raw.fastq.gz	GeneLab raw data processing protocol	107393870	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-604_rna_seq_raw_multiqc_report_GLbulkRNAseq.zip
